GRBname,T90_start,T90_end,T100_start,T100_end,fluence,hardness
GRB100316B,-0.284,4.112,-0.104,3.732,2.454074e-07 ,0.9125785434370455
GRB100316A,-1.208,6.76,-0.696,6.056,1.491315e-06 ,1.644409630391647
GRB100305A,-9.176,78.184,-0.696,74.92,3.070383e-06 ,1.8120910811638766
GRB100302A,47.644,67.292,48.544,66.492,4.941999e-07 ,1.3565317752850905
GRB100224A,0.0,0.484,0.0,0.484,7.904882e-08 ,2.484848208670926
GRB100219A,12.788,51.82,20.116,47.688,9.163440e-07 ,1.8912546944930344
GRB100216A,0.0,0.272,0.064,0.272,5.139832e-08 ,2.493043989702756
GRB100213B,-6.08,111.088,-1.856,90.0,1.503307e-06 ,0.8903280668151337
GRB100213A,-0.392,2.16,-0.164,2.052,5.423888e-07 ,1.7948987324140881
GRB100212A,-44.116,134.052,-38.292,125.472,1.428755e-06 ,0.9373679077189037
GRB100206A,-0.008,0.124,-0.004,0.112,4.583043e-07 ,2.9499863652225358
GRB100205A,-6.18,23.684,-4.388,21.456,6.159279e-07 ,1.5506724065905173
GRB100203A,0.0,11.2,0.0,11.2,4.062155e-07 ,1.6400230895977208
GRB100119A,-15.76,15.452,-9.276,13.792,3.402701e-05 ,2.080606854473149
GRB100117A,-0.008,0.316,0.004,0.296,2.538897e-07 ,2.609396262949124
GRB100115A,0.0,4.0,0.0,4.0,,
GRB100111A,-9.464,8.536,-7.464,6.536,1.044750e-06 ,1.2774091647104908
GRB091221,-43.584,41.084,-27.744,35.156,9.500567e-06 ,1.3871072545772378
GRB091208B,-0.192,19.312,0.32,15.12,4.891641e-06 ,1.2567527665794538
GRB091208A,-0.888,95.112,-0.888,79.112,4.667789e-06 ,2.2922394432241666
GRB091130B,-28.656,127.388,-5.836,95.924,1.932834e-06 ,1.0176305824730085
GRB091127,-0.372,7.196,-0.116,6.84,1.161799e-05 ,1.0251321362175492
GRB091117,0.0,0.96,0.064,0.704,8.440754e-07 ,4.37562445081166
GRB091112,-10.5,14.744,-7.716,9.804,5.109982e-06 ,2.1763072202189435
GRB091109B,-0.004,0.332,0.012,0.284,6.016712e-07 ,2.7074474814596146
GRB091109A,-0.84,51.752,0.408,48.44,3.284983e-06 ,1.9436594813841828
GRB091104,-1.48,120.52,7.98,115.116,1.181870e-06 ,1.3791454527796572
GRB091102,-0.78,6.632,-0.412,6.236,1.228897e-06 ,2.056126614208155
GRB091029,-1.772,60.196,1.024,40.204,3.613945e-06 ,1.121217923404802
GRB091026,-4.36,215.64,-2.36,171.64,3.208135e-06 ,1.3307605971285408
GRB091024,-15.204,134.984,-5.7,106.58,1.282537e-05 ,1.8353119985497806
GRB091020,-8.476,48.264,-4.084,34.836,6.602970e-06 ,1.4401246610899336
GRB091018,-0.268,7.748,0.24,4.608,1.857153e-06 ,0.8331056250827544
GRB090929B,-9.784,370.9,-2.176,355.184,8.676465e-06 ,1.1889674317458485
GRB090929A,0.0,52.128,0.224,43.472,4.490635e-06 ,1.739722406831038
GRB090927,0.024,2.44,0.104,2.264,2.973903e-07 ,1.2894067613248115
GRB090926B,-21.612,130.34,-16.936,82.348,1.330864e-05 ,
GRB090916,-0.04,68.52,0.136,62.584,1.790486e-06 ,1.956230719743741
GRB090915,0.0,9.6,0.0,9.6,1.941148e-06 ,2.7026519022060644
GRB090912,-2.968,159.104,0.924,136.44,7.613652e-06 ,1.3185598976073987
GRB090904B,-15.168,64.832,-15.168,48.832,2.163416e-05 ,1.4203323938943608
GRB090904A,29.52,186.4,44.164,173.696,4.104336e-06 ,1.0405667753733703
GRB090831C,0.408,81.176,1.112,79.064,7.594341e-07 ,2.285704299952318
GRB090827,0.0,8.0,0.0,8.0,,
GRB090823,0.0,27.2,0.0,25.6,2.384789e-07 ,0.992316331049041
GRB090815C,0.0,0.704,0.0,0.576,1.212446e-07 ,3.327897629577773
GRB090814A,-14.4,72.928,-12.528,65.536,1.839388e-06 ,1.2473260403279165
GRB090813,-0.804,7.324,-0.164,6.98,2.095626e-06 ,1.3188945323796402
GRB090812,-5.44,113.884,-1.748,72.748,1.218009e-05 ,1.777132953575206
GRB090809A,-0.712,9.256,-0.144,8.724,7.120459e-07 ,1.8701226603802783
GRB090807A,-9.452,151.488,-0.444,145.908,2.746668e-06 ,0.9228899482396545
GRB090728,-15.912,64.088,-15.912,48.088,1.542730e-06 ,1.2211806609158034
GRB090727,-1.34,318.884,0.892,302.772,2.957749e-06 ,1.991177273693405
GRB090726,-18.192,47.244,-17.06,39.616,9.674604e-07 ,0.906964306780794
GRB090720A,0.0,4.8,0.0,4.8,,
GRB090715B,-11.648,292.312,-0.716,265.684,9.521900e-06 ,1.3840130067931662
GRB090715A,-15.064,48.936,-15.064,48.936,2.265687e-06 ,2.834783594546525
GRB090712,-112.896,159.752,-82.256,120.644,7.482486e-06 ,1.6672082207794372
GRB090709B,-5.408,27.76,-2.944,24.0,2.688657e-06 ,1.642139381760738
GRB090709A,-67.296,101.472,-1.252,87.492,5.405830e-05 ,1.7623007165532638
GRB090708,0.172,9.552,0.496,9.204,7.276840e-07 ,1.250718798008681
GRB090628,-25.092,3.992,-21.524,3.42,1.340030e-06 ,1.7481954968970075
GRB090621B,-0.028,0.144,-0.012,0.128,2.308651e-07 ,3.0144638867394775
GRB090621A,-31.048,241.748,-1.54,217.696,4.692392e-06 ,1.3251039132430262
GRB090618,-4.996,213.636,10.456,123.796,1.848375e-04 ,1.36219825212212
GRB090607,0.06,2.488,0.084,2.376,2.536347e-07 ,2.180570780492191
GRB090531B,0.252,56.132,0.44,55.436,1.075688e-06 ,1.5825228845658377
GRB090531A,-25.54,34.608,-16.808,25.992,2.774122e-06 ,1.4171963219144303
GRB090530,-0.188,48.36,0.044,40.5,1.867451e-06 ,1.4875448615725406
GRB090529A,-40.576,39.3,-38.26,32.184,1.427047e-06 ,1.1063433539412946
GRB090520,0.0,14.4,0.0,14.4,9.560278e-07 ,3.8908110839257817
GRB090519,-12.4,54.888,-10.864,47.172,3.270774e-06 ,2.6011184666463003
GRB090518,-2.48,93.328,-1.2,84.624,1.138940e-06 ,1.6239774531314102
GRB090516A,-8.544,225.744,-4.272,176.736,1.477763e-05 ,1.3516369219882012
